entity_id,投掷人,"落点坐标(X,Y,Z)",落点所在范围,投掷物类型,tick时间戳,start_time,回合数
434,mezii,"(-693.0, -881.7, -254.0)",长凳,Smoke (烟雾弹),27103,423.484375,1
186,mezii,"(-1185.8, -664.9, -166.0)",VIP,Smoke (烟雾弹),33289,520.140625,2
196,donk,"(-689.1, -746.8, -264.6)",长凳,Smoke (烟雾弹),33544,524.125,2
214,tN1R,"(-727.0, -239.8, -160.0)",B小,Smoke (烟雾弹),34948,546.0625,2
216,zweih,"(79.2, -2363.5, -38.0)",匪二楼,Smoke (烟雾弹),35104,548.5,2
218,chopper,"(-1152.9, 611.6, -78.0)",厨房,Smoke (烟雾弹),35675,557.421875,2
381,donk,"(41.9, -2260.0, -38.0)",匪二楼,Smoke (烟雾弹),41063,641.609375,3
410,chopper,"(-1347.8, 654.3, -78.0)",B2,Smoke (烟雾弹),42177,659.015625,3
398,tN1R,"(-1040.4, -317.1, -366.0)",小黑屋,Smoke (烟雾弹),42295,660.859375,3
90,zweih,"(274.4, -1482.4, -174.0)",A1,Smoke (烟雾弹),44444,694.4375,3
148,mezii,"(-1185.8, -664.9, -166.0)",VIP,Smoke (烟雾弹),47302,739.09375,4
164,flameZ,"(35.3, -484.9, -184.1)",中路,Smoke (烟雾弹),47359,739.984375,4
156,tN1R,"(-654.7, -789.3, -262.0)",拱门外,Smoke (烟雾弹),48156,752.4375,4
198,zweih,"(61.2, -2308.8, -38.0)",匪二楼,Smoke (烟雾弹),48371,755.796875,4
204,flameZ,"(-1120.6, -621.4, -166.0)",VIP,Smoke (烟雾弹),48894,763.96875,4
193,donk,"(-661.1, -719.8, -266.1)",拱门外,Smoke (烟雾弹),49181,768.453125,4
179,chopper,"(-1286.8, 793.0, -78.0)",B2,Smoke (烟雾弹),50046,781.96875,4
110,donk,"(26.4, -2279.0, -38.0)",匪二楼,Smoke (烟雾弹),50171,783.921875,4
210,ropz,"(-487.6, -1531.0, -38.0)",跳台,Smoke (烟雾弹),50182,784.09375,4
120,ropz,"(-712.6, -1604.1, -166.0)",跳台下,Smoke (烟雾弹),50325,786.328125,4
165,flameZ,"(92.8, -452.9, -176.7)",中路,Smoke (烟雾弹),68642,1072.53125,5
278,apEX,"(-1211.4, -620.8, -166.0)",VIP,Smoke (烟雾弹),68762,1074.40625,5
181,donk,"(-663.4, -737.4, -265.1)",拱门外,Smoke (烟雾弹),69332,1083.3125,5
441,tN1R,"(87.4, -2126.5, -36.0)",二楼下,Smoke (烟雾弹),69693,1088.953125,5
110,sh1ro,"(-599.6, -854.9, -262.0)",拱门外,Smoke (烟雾弹),70936,1108.375,5
163,flameZ,"(-665.3, -1379.9, -166.0)",跳台下,Smoke (烟雾弹),71109,1111.078125,5
195,zweih,"(-684.2, -646.6, -269.7)",长凳,Smoke (烟雾弹),72400,1131.25,5
173,chopper,"(-813.6, 145.9, -171.7)",B小,Smoke (烟雾弹),72952,1139.875,5
227,apEX,"(97.5, -441.6, -176.6)",中路,Smoke (烟雾弹),77299,1207.796875,6
158,flameZ,"(-1200.8, -667.1, -166.0)",VIP,Smoke (烟雾弹),77426,1209.78125,6
141,donk,"(-993.0, -231.6, -366.0)",下水道,Smoke (烟雾弹),77543,1211.609375,6
407,zweih,"(8.6, -2340.2, -38.0)",匪二楼,Smoke (烟雾弹),77687,1213.859375,6
140,sh1ro,"(-623.6, -787.6, -262.0)",拱门外,Smoke (烟雾弹),78922,1233.15625,6
145,chopper,"(-2110.0, 546.4, -164.0)",外围,Smoke (烟雾弹),79240,1238.125,6
154,tN1R,"(-1525.0, 820.6, -46.0)",B2,Smoke (烟雾弹),79643,1244.421875,6
150,ropz,"(-1129.0, -624.0, -166.0)",VIP,Smoke (烟雾弹),80964,1265.0625,6
477,mezii,"(-2337.0, -410.3, -166.0)",超市,Smoke (烟雾弹),84067,1313.546875,6
148,flameZ,"(77.2, -418.7, -180.0)",中路,Smoke (烟雾弹),94486,1476.34375,7
127,ropz,"(-1163.5, -633.8, -166.0)",VIP,Smoke (烟雾弹),94594,1478.03125,7
180,flameZ,"(257.6, -590.1, -158.7)",沙袋,Smoke (烟雾弹),95923,1498.796875,7
186,zweih,"(28.0, -2343.4, -38.0)",匪二楼,Smoke (烟雾弹),96292,1504.5625,7
453,donk,"(-647.7, -821.2, -262.0)",拱门外,Smoke (烟雾弹),96466,1507.28125,7
471,chopper,"(-1212.5, 650.9, -78.0)",厨房,Smoke (烟雾弹),97638,1525.59375,7
228,sh1ro,"(298.2, -1527.6, -174.0)",A1,Smoke (烟雾弹),97728,1527.0,7
418,ZywOo,"(-1158.8, -652.9, -166.0)",VIP,Smoke (烟雾弹),98459,1538.421875,7
